,gene_ids
LINC00892,ENSG00000233093
CD40LG,ENSG00000102245
MCF2,ENSG00000101977
ATP11C,ENSG00000101974
SPANXA2-OT1,ENSG00000277215
AFF2,ENSG00000155966
AC244197.2,ENSG00000238039
LINC00894,ENSG00000235703
NAA10,ENSG00000102030
TMEM187,ENSG00000177854
IRAK1,ENSG00000184216
TKTL1,ENSG00000007350
FLNA,ENSG00000196924
AC244090.1,ENSG00000197180
ATP6AP1,ENSG00000071553
GDI1,ENSG00000203879
PLXNA3,ENSG00000130827
IKBKG,ENSG00000269335
GAB3,ENSG00000160219
FUNDC2,ENSG00000165775
BRCC3,ENSG00000185515
TMLHE-AS1,ENSG00000224533
VAMP7,ENSG00000124333
ZFY,ENSG00000067646
LINC00278,ENSG00000231535
NLGN4Y,ENSG00000165246
TTTY14,ENSG00000176728
KDM5D,ENSG00000012817
TTTY10,ENSG00000229236
