0_n	0_p	1_n	1_p	2_n	2_p	3_n	3_p	4_n	4_p	5_n	5_p	6_n	6_p	7_n	7_p	8_n	8_p	9_n	9_p	10_n	10_p	11_n	11_p	12_n	12_p	13_n	13_p	14_n	14_p	15_n	15_p	16_n	16_p	17_n	17_p	18_n	18_p
ATP10D	5.784548658307604e-07	AL008633.1	1.1882410383265976e-07	DOK6	1.874762562225139e-09	CLDN15	2.788416764433455e-06	SCART1	1.0028663933492314e-49	MMP23B	3.4021243267185343e-09	STX4	0.004162002638178147	ZFHX3	1.1848461921711414e-14	NFKBIE	3.338706954154389e-29	ZBTB8OS	3.713741709577768e-09	RECQL5	6.8142983101449664e-15	SCO2	2.753892101320357e-07	RNF146	0.0009434088239850534	ICE2	3.1024820008689536e-10	SMARCD1	8.489369745674289e-24	CLEC7A	2.2494516188284077e-13	AL603756.1	0.002085772536479606	NACA2	0.004385519713616448	COG6	0.0001262940999165481
NLRP3	5.888804129067239e-07	SULF2	1.1935412419990838e-07	TGFBI	1.888653757716649e-09	AL049569.1	2.9226031425545173e-06	ZFHX3	1.0353270113298216e-49	INPPL1	3.4057455738051273e-09	THEM6	0.004174696307709741	TEP1	1.1941217928438705e-14	GNE	4.0020988292796e-29	ACOT13	3.7783961098340605e-09	PRPS2	6.837588998615362e-15	FAM207A	2.824176517615098e-07	AUH	0.0009628131485514533	SMIM12	3.1939420833017144e-10	RANGRF	8.92647112932708e-24	CDRT4	2.2841355672866945e-13	ATP6V0D1	0.0021694211028616406	RNF8	0.004441572482192511	PARP6	0.0001262940999165481
NACA2	6.766520747922316e-07	ST3GAL6	1.2008663877027934e-07	KIR3DL1	1.8911901814406e-09	FABP5	2.9854769623812602e-06	LINC00884	1.0440417478162763e-49	OSBP2	3.4239081706201637e-09	DNAJC16	0.004221005828889527	WARS	1.2058168232913552e-14	FAM234A	4.0364876183085267e-29	POLD3	3.784921488212794e-09	HDDC3	7.13947392161432e-15	ORMDL2	2.9103335383273944e-07	PELI2	0.0009673000168983738	RCBTB2	3.4177076351823605e-10	FLII	9.141227375462383e-24	PKD2	2.3290393881351434e-13	ILVBL	0.00223769401982694	GRN	0.004450977478625157	AC022146.2	0.00012679577908216642
ALDH6A1	6.845970201232859e-07	PIPOX	1.2095794681015248e-07	A2M-AS1	1.947838677714816e-09	PPIP5K1	3.0297629668885023e-06	SPRED2	1.0706265368856087e-49	ZNF180	3.4580643110638956e-09	MAPKAPK3	0.004235472203301137	PRMT3	1.2355497428649844e-14	RAP2B	4.7485070238736494e-29	PPP2R3B	3.830907277720284e-09	KIF27	7.33685759633147e-15	CDK14	2.9103335383273944e-07	DLEU1	0.0009740666391917633	TRPT1	3.4881465423931816e-10	TIFA	9.222058609873484e-24	LMLN	2.4519300905230183e-13	PLXNC1	0.0022547113375470905	CCL4	0.004558835768041681	MAK16	0.0001278047775837507
MEN1	6.859878944260306e-07	CCDC9	1.2109253595795077e-07	BTBD11	1.9589710908488073e-09	C5orf51	3.1355610916322797e-06	KIAA0513	1.1878497058779671e-49	AP001977.1	3.552454508459885e-09	MOSPD3	0.0042435284947023215	NAPB	1.252514069286185e-14	TTC27	4.7620512720573183e-29	MOSPD3	3.85078153904978e-09	ZNF358	7.548176541094638e-15	AC005842.1	2.943590851740685e-07	AC005037.1	0.0009797389472847565	AKR1E2	3.540953873627156e-10	OMA1	1.0105823145640873e-23	AC017083.1	2.5070243493936046e-13	CTBP2	0.0023050246980079185	CD96	0.004594234645456237	PKIG	0.0001280582070255806
AP002807.1	7.13660493425918e-07	SGCD	1.2197090393170394e-07	RAB20	1.9629149583203154e-09	CD40LG	3.144107877870573e-06	AL591468.2	1.197842085342257e-49	PKIB	3.565059480171145e-09	BRD8	0.004346235339784493	ADGRG5	1.2610819700116461e-14	ICE2	4.966339003135833e-29	RORA	3.9279001121816276e-09	LEO1	7.863037841851303e-15	CACHD1	2.953160150575144e-07	AC008014.1	0.000997518063025129	DNAJA4	3.581070792839438e-10	HDAC3	1.078523522160031e-23	AC008467.1	2.628168417975428e-13	ENTPD1	0.0023050246980079185	GASK1B	0.004698633139322424	ACAT1	0.00012831211003839937
BPGM	7.234876933377444e-07	AC002429.2	1.2687799404153655e-07	ZNF585B	1.9668665610470446e-09	RORA	3.204564132481282e-06	EEF2K	1.2723003587248206e-49	PPARG	3.5878582359352527e-09	C19orf73	0.0043495324724566	TAFA1	1.2721826248822563e-14	FLYWCH1	5.048311479595609e-29	MANBAL	3.93976656321088e-09	AC022916.1	8.043509740809192e-15	AL109930.1	2.9603568310440185e-07	RAB11FIP4	0.0010056448456463533	PSMG3	3.652835289186178e-10	FAM228B	1.1509854074942419e-23	VIPR2	2.628168417975428e-13	MAN2B1	0.0023225103446845685	AC009120.2	0.004708529779480226	MAPK7	0.0001285664874467103
CNGA4	7.606482960172567e-07	CYP1B1	1.28009902931184e-07	MYO1F	1.9847448932070247e-09	AC005726.5	3.209797662119861e-06	TXLNA	1.2851504502561608e-49	B3GALT6	3.7013776525008747e-09	PLXDC1	0.004371019163419771	AL450992.3	1.2934134764233189e-14	NT5C3B	5.171953232995348e-29	KLHL42	4.111375371682866e-09	GLMP	8.274840919390913e-15	PCMT1	3.0087693039346143e-07	ATP6V1C1	0.0010155954697172558	PRR7	3.688253534552989e-10	TMCO3	1.2153933930816151e-23	AGO1	2.675992226734002e-13	AMPD3	0.002325436401809201	FABP5	0.004715138018832138	CASP10	0.00012933247430936483
AL807742.1	7.912146637688217e-07	CD244	1.2815207658991488e-07	ZFYVE28	1.994745609664979e-09	COMMD9	3.269686858683285e-06	ZNF345	1.2851504502561608e-49	ABHD5	3.717125940412037e-09	TRIM41	0.004385950880271275	PROCR	1.304794084758838e-14	AC139720.1	5.18669542909904e-29	ASTN2	4.129108795120108e-09	PGS1	8.378689381592329e-15	ZNF703	3.0357211008699175e-07	FBXW8	0.0010303943891196861	STK16	3.7120517258628926e-10	DPH7	1.3106810388295255e-23	KLHL12	2.7474298020709453e-13	MAP1S	0.0023578465938542317	CD300A	0.004778336276849866	AC026461.3	0.00012958875757100471
PYGL	7.952179629428231e-07	ABHD15	1.2893676652331917e-07	LINC01362	2.0236871934782525e-09	AC092574.2	3.2839333934078658e-06	TBX21	1.3811022970478186e-49	LIN52	3.7223898492296735e-09	SLC9B1	0.004429347024939675	ZNF345	1.3086094718517928e-14	ACAD10	5.553288879536567e-29	HDGFL2	4.179159349227329e-09	ATL3	8.435873521849487e-15	EIF1AD	3.171446837816332e-07	TM9SF4	0.0010321836082512969	LEO1	3.752048916902367e-10	CIAO3	1.3106810388295255e-23	AL353135.1	2.793509930576381e-13	CMTM3	0.0023593295647646334	CD300C	0.004815274159087918	MED9	0.00012958875757100471
CIITA	8.242076529086908e-07	OPA1-AS1	1.3001429296343943e-07	AC108673.3	2.02843717096659e-09	ARRDC4	3.6383529262699374e-06	LONRF3	1.4401326995889026e-49	LILRA2	3.7514713079489944e-09	AL590705.1	0.00443270125395011	MAST2	1.3098837053562352e-14	NAA20	5.746111968959005e-29	PPP4C	4.18275689592912e-09	C18orf21	8.54171042141141e-15	FCGRT	3.259889731050638e-07	AC106791.1	0.0010363696400529257	ZNF623	4.0440511248919195e-10	SPAG16	1.494907698167105e-23	USP12-AS1	2.805148064234166e-13	RP2	0.002402708981720435	AL360270.1	0.004828770046555047	THAP6	0.00013087736861407804
CMSS1	8.388702903117024e-07	PILRA	1.314645541334701e-07	TSPAN5	2.0516634264411027e-09	KIAA1191	3.825938494367761e-06	AC016168.2	1.5193703360947411e-49	KLRC1	4.003514883059717e-09	RBM48	0.004444459191014691	TRERF1	1.3618664823045259e-14	JKAMP	5.911861361927715e-29	PEX19	4.355284150127241e-09	DGCR6	8.590249067622898e-15	INKA2	3.270449994759478e-07	BRWD3	0.0010532713539809072	PCGF6	4.083167430931905e-10	CDKN2AIPNL	1.8092353661177484e-23	MSS51	2.8720026217834183e-13	TAB1	0.002411774687126826	LINC01806	0.004972557194383019	CLCN7	0.00013139618616855232
AL139383.1	8.576599996827062e-07	CXCL8	1.3241560283687805e-07	PCNX2	2.075843389177858e-09	RIN2	3.846652308606048e-06	CBR4	1.597591925222999e-49	CD109	4.08056157679364e-09	PPP2R3B	0.0044579314361297044	AL020996.1	1.3859159387749484e-14	TTF1	5.954034548074064e-29	PSMG3	4.400431755209013e-09	PLP2	8.688142135746865e-15	AC254562.3	3.3023293154047796e-07	AKT3	0.001077859381523879	ITGB3BP	4.1270632096043523e-10	NR2C2AP	1.83152319706326e-23	RDX	3.203786467833746e-13	SSX2IP	0.0024254319617609925	LILRA6	0.005074086706476399	AHI1	0.00013217804755269742
MSRB1	8.669881051567956e-07	PLXND1	1.370436961882827e-07	ITIH4	2.0939851389606227e-09	ARL6	4.042330735063864e-06	EPM2A	1.605631230579676e-49	TSPAN5	4.1327257647401095e-09	SLC52A2	0.00446299306097483	INPP5F	1.4131278117127548e-14	RASSF2	5.987987898898265e-29	PDK2	4.5425227808453225e-09	CASP9	8.76724634880573e-15	KCNA3	3.4025236089726214e-07	ANKUB1	0.001092865942705574	MCFD2	4.438011787415385e-10	PAFAH1B3	1.860578895342303e-23	GNS	3.385853279364902e-13	BLOC1S5	0.002434576096371614	COMMD9	0.005074086706476399	AP002075.1	0.0001358850486251929
IGHA1	8.715791240926957e-07	ZNF620	1.3949322300790828e-07	ADGRE2	2.1136951412504983e-09	SLC25A17	4.101545666496715e-06	KRBA2	1.6826338790834618e-49	SLC25A17	4.172274254124779e-09	AGFG2	0.004478209196717849	PLD1	1.4158777398772288e-14	INTS12	6.204591514028048e-29	PRPS2	4.79891158751447e-09	HAUS1	8.917481847474268e-15	PDK2	3.562642384079907e-07	MTHFD1L	0.0011080655263595936	CLPX	4.5531266395804456e-10	MTRF1L	1.991852575537078e-23	LINC02029	3.3999107856268403e-13	SPRED2	0.0024406897027001344	PAX8	0.005152355096433399	POLR2D	0.0001364225473879788
SHC1	8.874981591522133e-07	MGST2	1.3995720019427532e-07	AL022323.4	2.1144024022005995e-09	IL1B	4.125907820270252e-06	MSS51	1.811130777951013e-49	ATP8B4	4.281054897136233e-09	PRCP	0.004501972188816272	CLSTN3	1.425544015526205e-14	BTK	6.502453035959494e-29	APBA3	4.8735226428612654e-09	HINT3	9.019043437928654e-15	HUS1	3.571268111822291e-07	PACSIN2	0.0011423262626076157	CDK2AP2	4.6166920633137e-10	MRPL23	2.0771525164518418e-23	SIRPB2	3.480659372369841e-13	BMT2	0.0024544967191727266	IMPDH1	0.005181085743734694	TBRG4	0.00014079521255353376
TRAF7	8.877212159579479e-07	CNTNAP4	1.4222088138992437e-07	TBXAS1	2.1314459960197828e-09	AP000331.1	4.242963822907646e-06	DMXL2	1.8416708277016263e-49	PYGM	4.33571149392211e-09	FDX1	0.004539544916917198	CLOCK	1.453521146379393e-14	AP001636.3	6.651935011932648e-29	PYCR2	4.936559694679658e-09	LRRC59	9.729486513905749e-15	FKRP	3.6059730320036924e-07	MCU	0.0012138036081664784	RBM48	4.691113428384743e-10	ZNF165	2.088066188035095e-23	AL139021.1	3.49993106202981e-13	LRP1	0.0024575746351629996	GTF2H4	0.005217202594713935	SNX30	0.00014135098542998023
AP001437.1	9.02789621673234e-07	LRP1	1.43484926055988e-07	KDM4A-AS1	2.1393023000688758e-09	PTTG1	4.27961673759618e-06	LRRC39	1.8447528863443307e-49	SAP30L-AS1	4.384864802354272e-09	TEX261	0.004539544916917198	SYNGR1	1.4791620171786217e-14	ACAT1	6.804825779966278e-29	CEP70	5.078046511222621e-09	PHOSPHO2	9.773600932212571e-15	CERS4	3.6911923757553236e-07	CLEC16A	0.0012610902125538197	AL392172.1	4.716179766888668e-10	AC002091.1	2.2274286446988657e-23	LGALS3	4.011747180561284e-13	DNAJC4	0.0024901066577661325	LRMDA	0.005260842982362072	HINT3	0.00014135098542998023
VAMP3	9.452121503252817e-07	DMXL2	1.461668091527799e-07	ZNF710	2.1493420401769248e-09	AL157911.1	4.342157480690598e-06	MIR22HG	1.933166602258283e-49	AC006460.2	4.440810588219761e-09	TMEM182	0.004541259497974083	TRMT11	1.4878074688505572e-14	ZNF398	8.77216088126931e-29	PIGK	5.126079699531338e-09	AC013264.1	1.027204161893669e-14	MCEMP1	3.808867497568687e-07	YWHAQ	0.0012930632104683176	MDS2	4.89534133464535e-10	IFI44L	2.3267670880061575e-23	SMYD5	4.660439032155568e-13	PNKD	0.002496347724110141	LINC01031	0.005345409877061416	TTC28	0.00014135098542998023
PLEC	9.525860117722791e-07	LPCAT3	1.4824067544879193e-07	SLC2A13	2.1522189578084645e-09	H1FX	4.363198301168541e-06	ZDHHC14	2.0530661205505622e-49	AC008115.1	4.447069499636924e-09	ASB16-AS1	0.004587775498819396	TRIB1	1.500868943735735e-14	COQ9	9.866694564919439e-29	RNF123	5.178983720435625e-09	AK3	1.0758969196008286e-14	MTRF1L	4.035693667972496e-07	AL162253.2	0.001295270204244059	ZC3HAV1	4.911003499831546e-10	TXNDC17	2.355359553039554e-23	CENPJ	4.829783335226079e-13	RTL8A	0.0024994736207027608	EFCAB12	0.005371390208769297	UTP6	0.00014135098542998023
ANXA4	9.645961718903668e-07	IGFBP7	1.4897940030944498e-07	MAN2C1	2.2061235709425527e-09	AP001318.2	4.4531192072874056e-06	PRAG1	2.1749086565358464e-49	AC090559.1	4.663415609561206e-09	HUS1	0.004662747966101026	AL133480.1	1.5422303354550862e-14	IL4I1	9.92273644629339e-29	BOLA2	5.2909121699546985e-09	GDE1	1.077112488411433e-14	FCHSD2	4.045422190216648e-07	LY75	0.0013115613638478869	AL807742.1	4.942474680912707e-10	ABHD14A	2.3884628684452617e-23	LRRC39	5.151372155186616e-13	CXXC1	0.002505736158973449	NCF2	0.005404961015738182	DDAH2	0.00014190882408391715
USP19	1.0289218986452234e-06	AC004908.2	1.5188620997175016e-07	FEZ1	2.2090744992363534e-09	PSTPIP1	4.469876089002824e-06	TMEM44-AS1	2.2171016272360393e-49	PPIF	4.697977137904757e-09	TP53I13	0.004669778238163997	MYH11	1.578574021150393e-14	IMMP1L	1.0021570656805374e-28	HIST1H3I	5.322671592635566e-09	APOM	1.0881135996855003e-14	RPL34-AS1	4.15394046760037e-07	CORO1C	0.0013638908605870669	DPYD	4.947738978288543e-10	C2orf49	2.405186866826812e-23	LASP1	5.486442735643538e-13	SLC39A3	0.002524609997810451	AL033523.1	0.005416193310190386	PPME1	0.00014218852030977648
FGL2	1.233471953263981e-06	AP005329.1	1.562202473216273e-07	FCHO2	2.2164686520378867e-09	ANXA2	4.78715123844231e-06	ATP1A1-AS1	2.3155221155634615e-49	FAXDC2	4.707897555785452e-09	IKBKG	0.004703303266226413	CRIM1	1.580873271862444e-14	CTNNA3	1.0515690058148208e-28	SLC35D2	5.460896947160166e-09	MAPK13	1.0893427494696131e-14	PLP2	4.160606822933851e-07	MAP4K3	0.0013693058706898721	CTDSP2	4.947738978288543e-10	PPARA	2.5014427504139605e-23	BX255925.3	5.899083857044172e-13	FUOM	0.002549977402044432	ZNF232	0.00543496064006286	MSMO1	0.00014274947103629884
FKTN	1.3155961475862197e-06	PLAAT3	1.6218536992639862e-07	EFNA5	2.2417895477572166e-09	TTC39C-AS1	4.792275808069913e-06	PLXNA4	2.3663512530609e-49	PHF13	4.893426240321124e-09	ZYG11B	0.0047406106115970474	PLCXD2	1.5908748241013853e-14	AC019197.1	1.0925234046453573e-28	MDP1	5.531313000536044e-09	CD28	1.0992252592785066e-14	NUDT8	4.320270877026871e-07	MBNL3	0.0013716326538521471	YTHDF1	5.022016233964817e-10	AP1S1	2.5789369525840985e-23	SPI1	6.021300848012264e-13	PTRHD1	0.002567552487055905	AL807742.1	0.005522048718294759	PKNOX1	0.00014359480628663813
TMEM205	1.3552499865611564e-06	RNF146	1.635755745303403e-07	CD86	2.2658782470674982e-09	LRRC47	4.836047300732025e-06	ADGRG5	2.3663512530609e-49	FAM20C	4.9209980926195654e-09	LINC01524	0.00477459546023293	KIAA1328	1.601715351019071e-14	JAM3	1.1254674240513876e-28	IGHA1	5.576365882856439e-09	BTBD2	1.1396451679669503e-14	AC136475.1	4.407590487905723e-07	EPB41L5	0.0013982589337594655	MAPKAPK3	5.070339372941718e-10	POC5	2.7651067745485607e-23	AC006160.1	6.12923046870032e-13	CRYL1	0.0025755777218700233	AL020995.1	0.005537322388280023	DAPP1	0.00014416097973979976
TIMP2	1.5062563656823779e-06	KIFC3	1.6579652478090893e-07	CRTC3-AS1	2.2848727990263756e-09	WDR81	5.055311209134525e-06	PRKCD	2.3941792805513764e-49	NCAM1	4.976596019346167e-09	AP002748.4	0.0048341461942691625	LINC01934	1.6110650506297432e-14	NUDT2	1.2478424979991003e-28	MRPL1	5.588281114058295e-09	MAPK9	1.227685615116357e-14	HDAC3	4.60204919543864e-07	TXNDC16	0.0014077696730056212	RXRB	5.075736539567684e-10	SCCPDH	3.189356398038631e-23	AC127526.2	6.188130751956495e-13	LCOR	0.0026111619642883873	WDR81	0.005633649638311272	LINC00884	0.0001447292549286021
AP002954.1	1.5151864069531526e-06	UFL1-AS1	1.671706507085784e-07	NAPB	2.3303169640843486e-09	FBXO41	5.1615965956478916e-06	MIR646HG	2.4879282580600713e-49	LUCAT1	5.043412683784959e-09	EIF3J-DT	0.004850503522202375	LINC01118	1.647405600322939e-14	MRPL17	1.3148197983873952e-28	ZNF880	5.665127208435714e-09	MAP4K2	1.242995845618748e-14	PDE5A	4.646372672591976e-07	EMILIN2	0.0014415289395576212	BDNF-AS	5.257022511610753e-10	C22orf39	3.313752048944407e-23	DRAIC	6.230542227707983e-13	AL591506.1	0.0026340399095717984	AC015849.1	0.005696089791027531	BUD13	0.00014501418294171278
AC004908.2	1.5207935073320053e-06	POR	1.6827787364015419e-07	DCBLD2	2.33342959049609e-09	N6AMT1	5.3066429971006785e-06	CPEB3	2.512979752921789e-49	MAN1C1	5.071806419950953e-09	TXNDC9	0.004874219185970841	TUBGCP3	1.6522047346636206e-14	MYC	1.4270566274624692e-28	ZC3H12B	5.684498781699211e-09	PCID2	1.31350981537956e-14	ARMC2	4.679885206597025e-07	NLRP1	0.0014447827230515986	METTL8	5.301913353035021e-10	NAB1	3.377739380524648e-23	TNFSF13B	6.376886743101937e-13	ARL16	0.0026422549091560865	AC040934.1	0.005778989566228938	C19orf12	0.0001455856243535718
FAM49A	1.560605520379122e-06	AC002558.3	1.7117111772925838e-07	FAM153A	2.3357667175244076e-09	BORA	5.7441874134313015e-06	BNIPL	2.593977992346686e-49	AC099489.1	5.3009081622317665e-09	HRH2	0.004879706906607296	CENPK	1.732565831135203e-14	LINC00667	1.4453046104621834e-28	COLGALT1	5.777397233608134e-09	DELE1	1.3593733640130276e-14	SORT1	4.7627891435230457e-07	RAD54L2	0.0014455972259729498	DRG2	5.324498835750753e-10	NDUFS3	3.3806767846953295e-23	ABCD4	6.48221509131526e-13	YTHDF1	0.002677014268788698	AC006460.1	0.0058912145668430374	HIPK1-AS1	0.00014587213957591445
SMIM30	1.7386036671838009e-06	ETS2	1.7925467150952825e-07	RAB6A	2.4190181274708857e-09	SEC13	5.850313388457262e-06	FGFR1	3.276590883315271e-49	AC091607.2	5.319516059449596e-09	BNIP1	0.004925655722121946	AC245060.5	1.735926292642486e-14	C8orf76	1.7460356245042596e-28	MRPL36	5.777397233608134e-09	ARL16	1.3895179187799758e-14	EAF1	5.21143336950614e-07	RAPGEF5	0.0014464121521095919	LINC00476	5.364249555242646e-10	TBC1D10A	3.6335072529704716e-23	IGFBP7	6.652487508594224e-13	KIN	0.0027223188448002138	MCM7	0.005988966746205471	AL133453.1	0.0001464467636231996
ZNF623	1.757440058794395e-06	POLE	1.8004350208424641e-07	AC006581.1	2.4400750613173675e-09	CSTB	5.901730218320815e-06	CXCR5	3.2875382219008953e-49	SLC18A2	5.323245257504963e-09	TMEM120B	0.004925655722121946	HELZ2	1.7528250225234873e-14	XRCC4	1.8086537219413192e-28	EIF3J-DT	5.891830506607331e-09	PMM1	1.556492552740342e-14	SNHG10	5.379803212839377e-07	KIZ	0.001447227501659754	PCID2	5.427300760241301e-10	TP53I13	3.658843869646347e-23	SUSD1	7.160753937449529e-13	ZNF280B	0.002727395690793832	CARD19	0.00609234372964031	PIGK	0.00014702351858380622
PPM1F	1.764338157234554e-06	FAM234B	1.803401778665593e-07	TRIM3	2.453121796452422e-09	OSM	6.433455114538613e-06	CD300LB	3.295772612915502e-49	CLEC4A	5.470684616146603e-09	ZSWIM6	0.004979446372075098	ENPP2	1.7681721857672033e-14	TRIM27	1.8394967148622872e-28	PTGES2	5.916997497454809e-09	MKRN2	1.5599907956295678e-14	POLD3	5.527030545657033e-07	CEP192	0.0014843596942266135	ANAPC1	5.520304408556974e-10	DYNC1I2	3.6939675658545997e-23	KLRK1	7.707086170518585e-13	KIAA2013	0.00273248118544443	BATF	0.006548746165995485	SUFU	0.0001481834506764093
HES1	1.772997375216815e-06	AL049779.4	1.8123304354119568e-07	DNAH1	2.4752923874139217e-09	TGFB1	6.832254030994075e-06	INPP5B	3.3539910831602043e-49	AC012313.1	5.567278615850054e-09	AC087500.1	0.004992509652146516	NEURL4	1.7716005772744482e-14	KIAA1324	1.9243190681064992e-28	RAC1	6.065041330513281e-09	MCFD2	1.627946425689261e-14	LRRC75A	5.72333503421305e-07	ZDHHC17	0.0014877024609343194	NKAPD1	5.561480855360669e-10	TLCD2	3.7164926143805095e-23	SULF2	8.805003390490991e-13	ARSA	0.002759750430949762	LGR6	0.006562099294525916	EXOG	0.0001481834506764093
RXYLT1	1.8076022446052876e-06	GK	1.8153161396242225e-07	AC103691.1	2.482725859974796e-09	TPPP3	6.961196275205843e-06	DOCK3	3.543711352396845e-49	ANO10	5.5731267207548114e-09	EIF1AD	0.005005603913732549	AC053513.1	1.8097471986804298e-14	SNAPC3	2.20897660649203e-28	RCBTB2	6.070210028084797e-09	FAM111A-DT	1.6555654781497653e-14	GRN	5.782609010035179e-07	ZFYVE16	0.0015138450283457285	C1orf35	5.579219511485368e-10	ATG9A	3.742402089410587e-23	COLQ	9.05951918310168e-13	CISD3	0.0027614629848107517	CXCL8	0.006611270512574984	IMMP1L	0.0001484747770360723
ORAI3	2.015965379041312e-06	IL2RA	1.86271761355193e-07	POR	2.4876935825075665e-09	COQ2	6.974034195841303e-06	RNLS	3.573374149941021e-49	ARHGAP21	5.578980801790749e-09	PLP2	0.005016852273888263	CDC42SE2	1.823818095869762e-14	ECI1	2.393363718485582e-28	ELAVL1	6.185011501398155e-09	GPR160	1.7237459513546106e-14	MOSPD3	6.054349521259353e-07	TTC21A	0.0015240778510152721	BRCC3	5.698896124571617e-10	GNGT2	3.8145789156245703e-23	SLC15A3	1.026230999521976e-12	AL157871.4	0.0027717587096492266	DGCR6	0.006726534850842783	ZNF571	0.00015023409065585995
CYP1B1	2.0287695666639005e-06	MAFB	1.9557766557552904e-07	LINGO2	2.5177038546488958e-09	GRIK1	7.951970776285248e-06	LINC01684	3.645577170758013e-49	GCNT4	5.629967388654934e-09	PRKCB	0.005020606802940005	ZER1	1.8558723080057383e-14	LINC02422	2.3967312508089376e-28	AC136475.1	6.275165505299076e-09	COG2	1.7529630161201516e-14	SUPT7L	6.083153045349589e-07	CEP170	0.0015456011645628414	PPID	5.778025331760026e-10	AC095055.1	4.032477659256367e-23	RNASEH2A	1.0687407123627031e-12	C22orf39	0.0028465768506614484	GRINA	0.006797477062102946	DOP1B	0.000150824876798898
PP2D1	2.124738562001948e-06	ANKRD44-IT1	1.9568473683262448e-07	RAB32	2.5379062808809585e-09	PTGDS	7.972806995207998e-06	TUBG2	3.71923235561574e-49	PCNA	5.863022742359623e-09	FOXP1-AS1	0.005031885638088997	KIF5C	1.8921383279495473e-14	CRYZL1	2.4720177200788687e-28	PGAM5	6.309972862547273e-09	EPHB6	1.7549280506168705e-14	ARHGAP27	6.505667938741806e-07	NBEA	0.0015473350658488962	DNAJC9	5.895607445971424e-10	GTPBP3	4.08176151179143e-23	SERPINF1	1.0935916723905424e-12	NAA20	0.002857161939377045	CTSZ	0.006802076984586998	ALOX12-AS1	0.0001514178495637644
ZKSCAN7-AS1	2.1791001267748143e-06	RELT	2.0089131916634574e-07	C1QTNF3	2.55656380844275e-09	AC010618.3	8.006253545722585e-06	SAMD12	3.7503574973036166e-49	C5AR1	5.867122113334709e-09	THAP9-AS1	0.005063966851246977	UVSSA	1.9743953748221364e-14	TMEM184C	2.8249855414758117e-28	GSS	6.328792995891601e-09	STK16	1.87688163141878e-14	SLC39A3	6.640460984014457e-07	DIRAS1	0.0015674040904668676	RECQL5	5.990081586517777e-10	TOMM40	4.1137584230129334e-23	SOX4	1.1442336873733224e-12	CCR1	0.0028606982800244377	RORA-AS1	0.0068343548433584065	HSPA1A	0.00015201301647799957
AL390198.1	2.2423971602169105e-06	CENPK	2.0482788999066796e-07	CHUK	2.562528259241467e-09	AC024230.1	8.018830549288983e-06	AC127526.2	3.756613571168234e-49	AL137856.1	6.0102704573139085e-09	ISG15	0.005086723615811573	WDTC1	2.11664768990375e-14	ZNF738	3.125402818530067e-28	C5orf15	6.404621008543072e-09	RXRB	1.9387775126495622e-14	LIN7C	6.708862812684524e-07	RUFY3	0.00164183672943596	ALG2	6.236076056929118e-10	RWDD2B	4.117328929030102e-23	OAS3	1.1859176232424105e-12	AC022146.2	0.0028748836380903804	MYBL1	0.006908650183063686	ZNF133	0.0001532099629831806
